smiles,cid,rat_vi,GHS_Category
C=CC1C[N+]2(CCCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44628.0,7.2,2
C=CC1C[N+]2(CCCCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],44626.0,4.5,1
C=CC1C[N+]2(CCCCCC)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Br-],44632.0,9.3,2
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,5281555.0,1.0,1
C=CCC(C(=O)OCCN(CC)CC)C1C=CCC1.Cl,3051027.0,120.0,3
C=CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],23715925.0,86.0,3
C=CCC(CC=C)C(=O)O,12610509.0,630.0,4
C=CCC(CCN(CC)CC)(C(=O)OCC)c1ccccc1,85751.0,41.0,2
C=CCC(N)Cc1ccccc1.Cl,20253.0,43.0,2
C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],23690443.0,24.89,2
C=CCC1(C(C)C#CCC)C(=O)NC(=S)NC1=O,3032537.0,32.0,2
C=CCC1(C(C)CCC)C(=O)N=C([S-])NC1=O.[Na+],23677058.0,51.0,3
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,5193.0,80.0,3
C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],14148199.0,65.0,3
C=CCC1(C(C)SCC)C(=O)N=C([O-])NC1=O.[Na+],23703869.0,120.0,3
C=CCC1(C(C)SCCCC)C(=O)N=C([O-])NC1=O.[Na+],23703862.0,90.0,3
C=CCC1(C2C=CCC2)C(=O)NC(=O)N(C)C1=O,47463.0,90.0,3
C=CCC1(C2C=CCC2)C(=O)NC(=S)NC1=O,3033357.0,100.0,3
C=CCC1(C2C=CCCC2)C(=O)NC(=S)NC1=O,3032306.0,175.0,3
C=CCC1(CC(O)CCC)C(=O)N=C([O-])NC1=O.[Na+],23703816.0,128.0,3
C=CCC1(CC)C(=O)NC(=O)NC1=O,48542.0,175.0,3
C=CCC1(CCSCCCC)C(=O)N=C([O-])NC1=O.[Na+],23703863.0,80.0,3
C=CCC1(CCSCCCC)C(=O)N=C([S-])NC1=O.[Na+],23715979.0,120.0,3
C=CCC1(CSCCCC)C(=O)N=C([O-])NC1=O.[Na+],23703864.0,100.0,3
C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC.O,5282315.0,23.6,2
C=CCN(C)N=O,20679.0,320.0,4
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,36354.0,18.0,2
C=CCN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3034352.0,60.0,3
C=CCN1CCC2(CC)c3cc(O)ccc3CC1C2C,110913.0,32.0,2
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13.O=C(O)C(O)C(O)C(=O)O,5464111.0,40.0,2
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5.Cl,5464092.0,107.0,3
C=CCN1CCC23c4c5ccc(O)c4OC2C(N=[N+]=[N-])CCC3(O)C1C5,5745391.0,35.0,2
C=CCN1CCC23c4c5ccc(O)c4OC2C(N=[N+]=[N-])CCC3C1C5,5745476.0,39.0,2
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,5284595.0,226.0,3
C=CCN1CCc2nc(N)sc2CC1.Cl.Cl,104870.0,66.0,3
C=CCOC(=O)c1cncn1C(C)c1ccccc1.Cl,201872.0,35.0,2
C=CCOc1cc(Cl)ccc1C(=O)NCCN(CC)CC,71837.0,25.0,2
C=CCOc1ccccc1N(CC(O)CN1CCN(Cc2ccccc2)CC1)S(=O)(=O)c1ccc(C)cc1,3059989.0,12.0,2
C=CCOc1ccccc1OCC(O)CNC(C)C.Cl,71172.0,33.0,2
C=CCSC(C)C1(CC=C)C(=O)N=C([O-])NC1=O.[Na+],23703860.0,95.0,3
C=CCSCC1(C(C)CCC)C(=O)N=C([O-])NC1=O.[Na+],23703879.0,110.0,3
C=CCSCC1(CC)C(=O)N=C([O-])NC1=O.[Na+],23703878.0,100.0,3
C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1,67538.0,38.0,2
C=CCc1ccccc1OCC(O)CNC(C)C.Cl,66368.0,17.0,2
C=CN(CC)N=O,25807.0,88.0,3
C=CS(=O)(=O)C=C,6496.0,12.0,2
C=O,712.0,87.0,3
C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O,5746.0,3.0,1
C=c1ccc(OCC(O)CNC(C)(C)C)c2c1=CCC(=O)O2.Cl,169786.0,31.6,2
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,5311181.0,119.0,3
CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,6917951.0,13.0,2
