smiles,cid,mouse_vo,GHS_Category
Br.CCCCCCCN(C)c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845130.0,290.0,3
Br.CCCCCCCNc1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845120.0,500.0,4
Br.CCCCCCN=C1CC(C)(C)CC2=Nc3c(ncnc3N(C)C)SC12,135951891.0,165.0,3
Br.CCCCCCNc1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845122.0,500.0,4
Br.CCCCCN(C)c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845132.0,110.0,3
Br.CCCCCN(c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2)C(C)C,24845124.0,271.0,3
Br.CCCCCN=C1CC(C)(C)CC2=Nc3c(ncnc3N(C)C)SC12,135951889.0,365.0,4
Br.CCCCN(C)c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845118.0,165.0,3
Br.CCCCN(c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2)C(C)C.O,24845114.0,370.0,4
Br.CCCCN=C1CC(C)(C)CC2=Nc3c(ncnc3N(C)C)SC12,135951887.0,335.0,4
Br.CCCCNc1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,24845116.0,500.0,4
Br.CCCCOc1nc(N(C)Cc2ccccc2)nc(NCCN(C(C)C)C(C)C)c1SC,3043391.0,675.0,4
Br.CCCCOc1nc(N(C)c2ccccc2)nc(NCCN(C(C)C)C(C)C)c1SC,3043393.0,525.0,4
Br.CCCN(CCC)CCCC(=O)c1csc2ccccc12,3046053.0,1100.0,4
Br.CCN(CC)CCCC(=O)c1csc2ccccc12,3046050.0,1200.0,4
Br.CCN(CC)CCNc1nc(N(C)Cc2ccccc2)nc(Cl)c1SC,3043353.0,525.0,4
Br.CCN(CC)CCNc1nc(N(C)c2ccc(C)cc2)nc(Cl)c1SC,3043374.0,675.0,4
Br.CCN(CC)CCNc1nc(N(C)c2ccc(Cl)cc2)nc(Cl)c1SC,3043355.0,610.0,4
Br.CCN(CC)CCNc1nc(N(C)c2ccc(Cl)cc2)nc(OC)c1SC,3043382.0,600.0,4
Br.CCN(CC)CCNc1nc(N(C)c2ccc(OC)c(OC)c2)nc(Cl)c1SC,3043376.0,400.0,4
Br.CCN(CC)c1nc(Cl)c(SC)c(NCCN(C(C)C)C(C)C)n1,3043370.0,600.0,4
Br.CCN(CC)c1nc(Cl)c(SC)c(OC2CCN(C)CC2)n1,3044421.0,525.0,4
Br.CCN(CC)c1nc(OC)c(SC)c(OC2CCN(C)CC2)n1,3044424.0,400.0,4
Br.CCN(CCBr)Cc1cccc2ccccc12,14606.0,457.0,4
Br.CCN1C(=O)CC2(CCN(C)CC2)C1=O,87933.0,574.0,4
Br.CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,24832675.0,2.025,1
Br.CCN1CC2(COC)C(OC(C)=O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,54249.0,2.5,1
Br.CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1(O)CC(OC)C2CC4C1(O)C2OC,90479363.0,35.5,2
Br.CCOC(=O)C1(c2ccccc2)CCC(CCCN2c3ccccc3Sc3ccccc32)CC1,26802.0,600.0,4
Br.CCOC(=O)C1=CCCN(C)C1,201460.0,1000.0,4
Br.CCOC(=O)CN(C)c1nc(Cl)c(SC)c(NCCN(C(C)C)C(C)C)n1,3043368.0,900.0,4
Br.CCOC(=O)c1ccc(N)cc1.CN(C)CCC(c1ccccc1)c1ccccn1.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12.Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)C=CC(=O)O,6447423.0,1500.0,4
Br.CCc1[se]c(N)nc1O,24846036.0,250.0,3
Br.CN(C)C(C)(C)C(C)(C)C,122475.0,472.0,4
Br.CN(C)CCC1=C(c2ccccc2)c2ccccc2C1,210025.0,100.0,3
Br.CN(C)Cc1c(Br)n(C)c2cc(Br)ccc12,3071150.0,313.0,4
Br.CN(C)Cc1ccccc1Sc1cccc(O)c1,3080309.0,285.0,3
Br.CN(C)c1ncnc2c1N=C1CC(C)(C)CC(=N)C1S2,3067019.0,340.0,4
Br.CN(C)c1ncnc2c1N=C1CC(C)(C)CC(=NCCCC(=O)O)C1S2,135624081.0,420.0,4
Br.CN(C)c1ncnc2c1N=C1CC(C)(C)CC(=NCCCCCC(=O)O)C1S2,136047906.0,405.0,4
Br.CN(C)c1ncnc2c1N=C1CC(C)(C)CC(=NCc3ccccc3)C1S2,135463964.0,145.0,3
Br.CN(CC(=O)NC(=O)C(N)Cc1ccccc1)c1ccc(Cl)cc1C(=O)c1ccccc1Cl,3042181.0,1000.0,4
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,6603108.0,1880.0,4
Br.CN1CC=C2C(=C(c3ccccc3)c3ccccc32)C1,198538.0,275.0,3
