smiles,cid,rat_vo,GHS_Category
C.CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC([NH-])=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(n5cnc6cc(C)c(C)cc65)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[Co+3],73415798.0,5000.0,5
C.CCCCCCCCOCC,94663.0,2700.0,5
C.O=Cc1ccccc1,88713352.0,2250.0,5
C1=C2CCCNC2C2CC1C1CCCCN1C2,162147.0,480.0,4
C1=CC(OC2C=CCC2)CC1,27061.0,811.0,4
C1=CC2C3C=CC(C3)C2C1,6492.0,353.0,4
C1=CC=CCC=C1,11000.0,57.0,3
C1=CCC(C2CC3C=CC2C3)CC1,20835.0,4290.0,5
C1=CCC(c2ccccc2)CC1,21096.0,2000.0,4
C1=CCC2CC=CC2C1,62475.0,3730.0,5
C1=CCC=C1,7612.0,113.0,3
C1=CCCC1,8882.0,2140.0,5
C1=CCCC=CCCC=CCC1,5364361.0,1780.0,4
C1=CCCCC1,8079.0,2400.0,5
C1=Cc2cccc(OCC3CNCCO3)c2C1.Cl,47517.0,502.0,4
C1=Cc2ccccc2CC1,9938.0,2830.0,5
C1=Nc2ccccc2Oc2ccccc21,9213.0,563.0,4
C1C2CC3OC3C2CC2OC12,102898.0,2140.0,5
C1C2OC2C2C1C1CC2C2OC12,6673.0,210.0,3
C1CC(C2CO2)OCC1C1CO1,217635.0,1410.0,4
C1CC2CC1C1SSSC21,44144472.0,300.0,3
C1CC2CC1CC2CNCC1CC2CCC1C2,25029.0,1410.0,4
C1CC2OC2C1OC1CCC2OC12,61307.0,2140.0,5
C1CC2OC2CC1C1CO1,7833.0,2130.0,5
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)C=CC(=O)O,5284439.0,2150.0,5
C1CCC(CN=C2NCCS2)CC1,3055296.0,50.0,2
C1CCC(N2CCOCC2)CC1,22938.0,178.0,3
C1CCC(NC2CCCCC2)CC1,7582.0,373.0,4
C1CCC(NC2CCCCC2)CC1.CCCCCC(=O)O,25832.0,2580.0,5
C1CCC(NC2CCCCC2)CC1.O=C(O)c1cccc([N+](=O)[O-])c1,198124.0,925.0,4
C1CCC(NC2CCCCC2)CC1.O=C(O)c1ccccc1,168040.0,925.0,4
C1CCC(NC2CCCCC2)CC1.O=C(O)c1ccccc1[N+](=O)[O-],198136.0,925.0,4
C1CCC(NC2CCCCC2)CC1.O=NO,18409.0,330.0,4
C1CCC(NC2CCCCC2)CC1.O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,9435.0,198.0,3
C1CCC(OC2CCCC2)C1,24977.0,470.0,4
C1CCC([Sn+2]C2CCCCC2)CC1.[O-2],31510.0,192.0,3
C1CCC([Sn+](C2CCCCC2)C2CCCCC2)CC1.CC(=O)[O-],16684298.0,178.0,3
C1CCC([Sn+](C2CCCCC2)C2CCCCC2)CC1.c1nc[n-]n1,91634.0,76.0,3
C1CCC([Sn](C2CCCCC2)C2CCCCC2)CC1.O,6327054.0,180.0,3
C1CCC2CCCCC2C1,7044.0,4170.0,5
C1CCC2OC2C1,637978.0,1090.0,4
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,85955.0,176.0,3
C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,87119.0,75.0,3
C1CCCNCC1,8119.0,20.7,2
C1CCN2CC3CC(CN4CCCCC34)C2C1,644020.0,960.0,4
C1CCNC1,31268.0,300.0,3
C1CCNCC1,8082.0,400.0,4
C1CCNCC1.Cl,22465.0,133.0,3
C1CCOC1,8028.0,1650.0,4
C1CCSC1,1127.0,1750.0,4
C1CCc2c(OCCN3CCOCC3)n[nH]c2C1,215738.0,1600.0,4
C1CCc2nnnn2CC1,5917.0,140.0,3
C1CN(SSN2CCOCC2)CCO1,7648.0,4300.0,5
C1CN(SSSSN2CCOCC2)CCO1,85299.0,4800.0,5
C1CN1,9033.0,15.0,2
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,5845.0,98.0,3
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5799.0,13.0,2
C1CN2CCC1CC2,7527.0,81.2,3
C1CN2CCN1CC2,9237.0,1700.0,4
C1CNCCN1,4837.0,1900.0,4
C1CNCCN1.CC12C(=O)OC(=O)C1C1CCC2O1,202547.0,100.0,3
C1CNCCN1.Cl.Cl,8893.0,4900.0,5
C1CNCCNC1,68163.0,2830.0,5
C1CO1,6354.0,72.0,3
C1COC(=NC(C2CC2)C2CC2)N1.O=P(O)(O)O,198614.0,295.0,3
C1COC(OCC2CO2)C(OCC2CO2)O1,24851.0,1070.0,4
C1COCCN1,8083.0,1450.0,4
C1COCCN1.Cl,197884.0,4580.0,5
C1COCCO1,31275.0,4200.0,5
C1COCCOCCNCCOCCOCCN1,72805.0,3400.0,5
C1COCCOCCOCCO1,9269.0,2830.0,5
C1COCCOCCOCCOCCO1,36336.0,1410.0,4
C1COCCOCCOCCOCCOCCO1,28557.0,525.0,4
C1COCO1,12586.0,3000.0,5
C1CS1,9865.0,178.0,3
C1CSCCO1,27596.0,2830.0,5
C1CSCCS1,10452.0,2768.0,5
C1C[Si]C1,6327460.0,1539.0,4
C1N2CN3CN1CN(C2)C3.O=C(O)c1ccc(S(=O)(=O)O)cc1O,163999.0,4100.0,5
C1NNCN2CNNCN12,74451.0,397.0,4
C1OC1C1CO1,51762.0,144.0,3
C1OC1CSCC1CO1,203672.0,32.0,2
C=C(C#N)C(=O)OC,8711.0,1600.0,4
